resWLsplit1,resWLsplit2
老师，同学，学校,"老师,同学,学校"
跑 食堂 下雨,"跑,食堂,下雨"
可恨 可怜 可恶,"可恨,可怜,可恶"
泼妇 混球 生存,"泼妇,混球,生存"
敏感 机灵 敏捷,"敏感,机灵,敏捷"
吵架 分手 离婚 撕逼,"吵架,分手,离婚,撕逼"
科学，论文，聪慧，灵敏，计谋，机智，理性，文献,"科学,论文,聪慧,灵敏,计谋,机智,理性,文献"
什么   疑心病   康熙雍正,"什么,疑心病,康熙雍正"
京剧 北京 礼品,"京剧,北京,礼品"
喜爱，偏见，自我理解,"喜爱,偏见,自我理解"
达到 打赏 打球,"达到,打赏,打球"
中央 主权 霸道,"中央,主权,霸道"
狱警 犯人 电视,"狱警,犯人,电视"
耳光 烟 抽搐,"耳光,烟,抽搐"
焦躁   不安 抑郁,"焦躁,不安,抑郁"
儿子 幼儿 女儿,"儿子,幼儿,女儿"
累，要命，吃土,"累,要命,吃土"
假的，不可能，,"假的,不可能,"
不知道 游戏 好玩,"不知道,游戏,好玩"
和平鸽，橄榄枝，奥林匹克，士兵,"和平鸽,橄榄枝,奥林匹克,士兵"
电影 可怕 回忆,"电影,可怕,回忆"
哈哈 都是套路 反套路,"哈哈,都是套路,反套路"
盲人 盲目 阿炳,"盲人,盲目,阿炳"
钱 花费 旅游 吃饭 日常开销,"钱,花费,旅游,吃饭,日常开销"
指南针罗盘 航海,"指南针罗盘,航海"
小区 邻居 户口 房子 人口 楼盘 迁移 城市,"小区,邻居,户口,房子,人口,楼盘,迁移,城市"
轴对称 三角形,"轴对称,三角形"
病人 刘伯承 酒精,"病人,刘伯承,酒精"
窘迫 困难 披荆斩棘,"窘迫,困难,披荆斩棘"
转化 直接 转折 换取,"转化,直接,转折,换取"
操纵 放肆 隐瞒,"操纵,放肆,隐瞒"
玻璃瓶;童年;,"玻璃瓶,童年,"
萌 b站 动漫,"萌,b站,动漫"
建造，造成，构成,"建造,造成,构成"
派 艺术 活动,"派,艺术,活动"
语文 背诵 朗读,"语文,背诵,朗读"
身体 心理 舒畅,"身体,心理,舒畅"
姐姐，哥哥，弟弟,"姐姐,哥哥,弟弟"
洗衣机 自动化 车间,"洗衣机,自动化,车间"
红楼梦 三国演义 西游记 水浒传,"红楼梦,三国演义,西游记,水浒传"
障碍 预防 警惕,"障碍,预防,警惕"
车轴，数轴，圆圆的,"车轴,数轴,圆圆的"
塌方 漏洞 黑洞,"塌方,漏洞,黑洞"
水，力量，物理，爱因斯坦,"水,力量,物理,爱因斯坦"
有趣 开心 兴奋,"有趣,开心,兴奋"
阿瞬 sm 太阳系,"阿瞬,sm,太阳系"
盾牌 船 大海,"盾牌,船,大海"
